run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-20-20210518-20:52:25-21245,runattr,,,measurement,,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,network,EarthquakeDetector,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,processid,21245,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,repetition,20,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,replication,#20,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,resultdir,results,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,runnumber,20,,,,,,,,
General-20-20210518-20:52:25-21245,runattr,,,seedset,20,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,configname,General,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,datetime,20210518-20:52:41,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,experiment,General,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,iterationvars,,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,iterationvarsf,,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,measurement,,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,network,EarthquakeDetector,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,processid,21369,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,repetition,24,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,replication,#24,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,resultdir,results,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,runnumber,24,,,,,,,,
General-24-20210518-20:52:41-21369,runattr,,,seedset,24,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,configname,General,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,datetime,20210518-20:51:39,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,experiment,General,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,iterationvars,,,,,,,,,
